"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:10:19.000000 UTC",-179.89456224,21.90335602,-72.23080417
"2024-12-14 20:10:20.000000 UTC",-179.89456235,21.90335597,-72.23095657
"2024-12-14 20:10:21.000000 UTC",-179.89456246,21.90335592,-72.23110897
"2024-12-14 20:10:22.000000 UTC",-179.89456257,21.90335587,-72.23126136
"2024-12-14 20:10:23.000000 UTC",-179.89456268,21.90335581,-72.23141376
"2024-12-14 20:10:24.000000 UTC",-179.89456279,21.90335576,-72.23156616
"2024-12-14 20:10:25.000000 UTC",-179.89456290,21.90335571,-72.23171856
"2024-12-14 20:10:26.000000 UTC",-179.89456301,21.90335566,-72.23187095
"2024-12-14 20:10:27.000000 UTC",-179.89456312,21.90335561,-72.23202335
"2024-12-14 20:10:28.000000 UTC",-179.89456323,21.90335556,-72.23217575
"2024-12-14 20:10:29.000000 UTC",-179.89456334,21.90335551,-72.23232815
"2024-12-14 20:10:30.000000 UTC",-179.89456345,21.90335546,-72.23248055
"2024-12-14 20:10:31.000000 UTC",-179.89456356,21.90335541,-72.23263294
"2024-12-14 20:10:32.000000 UTC",-179.89456367,21.90335536,-72.23278534
"2024-12-14 20:10:33.000000 UTC",-179.89456378,21.90335530,-72.23293774
"2024-12-14 20:10:34.000000 UTC",-179.89456389,21.90335525,-72.23309014
"2024-12-14 20:10:35.000000 UTC",-179.89456400,21.90335520,-72.23324253
"2024-12-14 20:10:36.000000 UTC",-179.89456411,21.90335515,-72.23339493
"2024-12-14 20:10:37.000000 UTC",-179.89456422,21.90335510,-72.23354733
"2024-12-14 20:10:38.000000 UTC",-179.89456433,21.90335505,-72.23369973
"2024-12-14 20:10:39.000000 UTC",-179.89456444,21.90335500,-72.23385212
"2024-12-14 20:10:40.000000 UTC",-179.89456455,21.90335495,-72.23400452
"2024-12-14 20:10:41.000000 UTC",-179.89456467,21.90335490,-72.23415692
"2024-12-14 20:10:42.000000 UTC",-179.89456478,21.90335485,-72.23430932
"2024-12-14 20:10:43.000000 UTC",-179.89456489,21.90335480,-72.23446171
"2024-12-14 20:10:44.000000 UTC",-179.89456500,21.90335474,-72.23461411
"2024-12-14 20:10:45.000000 UTC",-179.89456511,21.90335469,-72.23476651
"2024-12-14 20:10:46.000000 UTC",-179.89456522,21.90335464,-72.23491891
"2024-12-14 20:10:47.000000 UTC",-179.89456533,21.90335459,-72.23507130
"2024-12-14 20:10:48.000000 UTC",-179.89456544,21.90335454,-72.23522370
"2024-12-14 20:10:49.000000 UTC",-179.89456555,21.90335449,-72.23537610
"2024-12-14 20:10:50.000000 UTC",-179.89456566,21.90335444,-72.23552850
"2024-12-14 20:10:51.000000 UTC",-179.89456577,21.90335439,-72.23568089
"2024-12-14 20:10:52.000000 UTC",-179.89456588,21.90335434,-72.23583329
"2024-12-14 20:10:53.000000 UTC",-179.89456599,21.90335429,-72.23598569
"2024-12-14 20:10:54.000000 UTC",-179.89456610,21.90335423,-72.23613809
"2024-12-14 20:10:55.000000 UTC",-179.89456621,21.90335418,-72.23629048
"2024-12-14 20:10:56.000000 UTC",-179.89456632,21.90335413,-72.23644288
"2024-12-14 20:10:57.000000 UTC",-179.89456643,21.90335408,-72.23659528
"2024-12-14 20:10:58.000000 UTC",-179.89456654,21.90335403,-72.23674768
"2024-12-14 20:10:59.000000 UTC",-179.89456665,21.90335398,-72.23690008
"2024-12-14 20:11:00.000000 UTC",-179.89456676,21.90335393,-72.23705247
"2024-12-14 20:11:01.000000 UTC",-179.89456687,21.90335388,-72.23720487
"2024-12-14 20:11:02.000000 UTC",-179.89456698,21.90335383,-72.23735727
"2024-12-14 20:11:03.000000 UTC",-179.89456709,21.90335378,-72.23750967
"2024-12-14 20:11:04.000000 UTC",-179.89456720,21.90335372,-72.23766206
"2024-12-14 20:11:05.000000 UTC",-179.89456731,21.90335367,-72.23781446
"2024-12-14 20:11:06.000000 UTC",-179.89456742,21.90335362,-72.23796686
"2024-12-14 20:11:07.000000 UTC",-179.89456754,21.90335357,-72.23811926
"2024-12-14 20:11:08.000000 UTC",-179.89456765,21.90335352,-72.23827165
"2024-12-14 20:11:09.000000 UTC",-179.89456776,21.90335347,-72.23842405
"2024-12-14 20:11:10.000000 UTC",-179.89456787,21.90335342,-72.23857645
"2024-12-14 20:11:11.000000 UTC",-179.89456798,21.90335337,-72.23872885
"2024-12-14 20:11:12.000000 UTC",-179.89456809,21.90335332,-72.23888124
"2024-12-14 20:11:13.000000 UTC",-179.89456820,21.90335327,-72.23903364
"2024-12-14 20:11:14.000000 UTC",-179.89456831,21.90335321,-72.23918604
"2024-12-14 20:11:15.000000 UTC",-179.89456842,21.90335316,-72.23933844
"2024-12-14 20:11:16.000000 UTC",-179.89456853,21.90335311,-72.23949083
"2024-12-14 20:11:17.000000 UTC",-179.89456864,21.90335306,-72.23964323
"2024-12-14 20:11:18.000000 UTC",-179.89456875,21.90335301,-72.23979563
"2024-12-14 20:11:19.000000 UTC",-179.89456886,21.90335296,-72.23994803
"2024-12-14 20:11:20.000000 UTC",-179.89456897,21.90335291,-72.24010042
"2024-12-14 20:11:21.000000 UTC",-179.89456908,21.90335286,-72.24025282
"2024-12-14 20:11:22.000000 UTC",-179.89456919,21.90335281,-72.24040522
"2024-12-14 20:11:23.000000 UTC",-179.89456930,21.90335276,-72.24055762
